,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
RNA5SP202,69.97183946310938,-0.4193997920801367,0.8741537703850111,-0.4797780508289941,0.6313852217381233,0.8402454231500902,RNA5SP202
MRPL13,731.7574316818806,-0.05699574617672137,0.11880198603411082,-0.47975415293441775,0.6314022166033526,0.8402454231500902,MRPL13
CCDC22,322.6095586073554,-0.08205689000851579,0.171104640558997,-0.47957138824778117,0.631532195216097,0.8403363054726402,CCDC22
LBX2-AS1,41.589310974889266,-0.1840982921752846,0.38402622457493607,-0.47938989682034333,0.6316612795863906,0.840338999648897,LBX2-AS1
NOC3L,859.3323061312522,-0.04924204726981744,0.10272526730303919,-0.4793567207233793,0.6316848770423619,0.840338999648897,NOC3L
PRRT4,78.60747382392604,0.13705612786508695,0.28594562371192883,0.47930835970115027,0.6317192758866883,0.840338999648897,PRRT4
RBBP7,2729.100157428989,-0.0398041911216267,0.08313574009177302,-0.47878555092776104,0.6320911968654526,0.8407516476174633,RBBP7
LDLRAP1,1001.9657792819886,0.048218842570660364,0.10085553343443247,0.47809813630114883,0.6325803584999092,0.8413201429116727,LDLRAP1
NHLRC3,305.32635794996355,-0.0680824912915249,0.1424828340914135,-0.47782942924791094,0.6327716131374475,0.8413705412483646,NHLRC3
PDCD6P1,238.2837951826733,0.08862701721441407,0.1854957662159458,0.4777845824860418,0.6328035356111534,0.8413705412483646,PDCD6P1
LACTB,196.19331592011622,-0.08122583689925499,0.1699558647371842,-0.4779231185982357,0.632704926119126,0.8413705412483646,LACTB
PSME3IP1,1524.5206511310837,0.04226693174327275,0.08851688311990631,0.47750135627818396,0.6330051552892589,0.8413922558791662,PSME3IP1
EIF1,8662.75893175507,-0.04930037016544699,0.10323410626380286,-0.47755893812327466,0.6329641624067157,0.8413922558791662,EIF1
S100A3,58.97474299673774,0.13588241248634672,0.28455057486475865,0.4775334316260966,0.632982320505569,0.8413922558791662,S100A3
