Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022.gmt,Generic Transcription Pathway R-HSA-212436,7/1190,0.16162460554453437,0.35945312273104446,1.7529273783175379,3.1946731294570965,FOS;THBS1;NR1D1;TP53I3;IGFBP3;DDIT3;CDKN1A
Reactome_2022.gmt,Cyclin D Associated Events In G1 R-HSA-69231,1/47,0.16470783645760398,0.3634030042477294,8.496120865659453,15.323451196162159,CDKN1A
Reactome_2022.gmt,Inositol Phosphate Metabolism R-HSA-1483249,1/48,0.1679075765975862,0.36538520090280047,8.316455696202532,14.839397782298079,PLCE1
Reactome_2022.gmt,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,1/49,0.17109536483014023,0.36538520090280047,8.144199399712907,14.378862481127626,CDKN1A
Reactome_2022.gmt,Muscle Contraction R-HSA-397014,2/196,0.1714089704035309,0.36538520090280047,3.423864053684105,6.0386790911764345,NANOS1;ACTA2
Reactome_2022.gmt,Aquaporin-mediated Transport R-HSA-445717,1/50,0.17427124465837723,0.36538520090280047,7.9789029535864975,13.940278987133045,AQP3
Reactome_2022.gmt,Ion Homeostasis R-HSA-5578775,1/50,0.17427124465837723,0.36538520090280047,7.9789029535864975,13.940278987133045,NANOS1
Reactome_2022.gmt,Neurotransmitter Release Cycle R-HSA-112310,1/50,0.17427124465837723,0.36538520090280047,7.9789029535864975,13.940278987133045,SH2D3C
Reactome_2022.gmt,Hemostasis R-HSA-109582,4/576,0.175071712233365,0.36538520090280047,2.127116109349764,3.706626606886228,PIK3R3;NANOS1;THBS1;RAPGEF4
Reactome_2022.gmt,Interferon Signaling R-HSA-913531,2/200,0.17686151280113974,0.36538520090280047,3.3535607968857337,5.809669374534715,TRIM22;PTAFR
Reactome_2022.gmt,Synthesis Of PIPs At Plasma Membrane R-HSA-1660499,1/51,0.17743525943121605,0.36538520090280047,7.820152901366086,13.522213261902136,PIK3R3
Reactome_2022.gmt,Signaling By PDGF R-HSA-186797,1/52,0.18058745234391504,0.36644753103363786,7.667567899717341,13.123350068019137,THBS1
Reactome_2022.gmt,Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,1/52,0.18058745234391504,0.36644753103363786,7.667567899717341,13.123350068019137,NR1D1
Reactome_2022.gmt,Nuclear Receptor Transcription Pathway R-HSA-383280,1/53,0.18372786643860162,0.3701184555792119,7.520795660036167,12.742481100294007,NR1D1
Reactome_2022.gmt,Keratinization R-HSA-6805567,2/208,0.18785066290270333,0.3730177449067966,3.221125121851514,5.386069014624337,KRT7;KLK5
Reactome_2022.gmt,Phospholipid Metabolism R-HSA-1483257,2/208,0.18785066290270333,0.3730177449067966,3.221125121851514,5.386069014624337,PIK3R3;SH2D3C
Reactome_2022.gmt,Degradation Of DVL R-HSA-4641258,1/55,0.18997352957996227,0.37455773917184054,7.243409592381838,12.030365561500869,DACT1
Reactome_2022.gmt,G Alpha (Q) Signaling Events R-HSA-416476,2/212,0.1933832191536214,0.3761776883369282,3.1586821729339545,5.189972139403568,PIK3R3;PTAFR
Reactome_2022.gmt,Immune System R-HSA-168256,10/1943,0.19350147277762855,0.3761776883369282,1.5163743656920474,2.490599639892007,PIK3R3;FOS;PTAFR;TRIM22;CEBPD;CD22;NANOS1;MUC19;RAPGEF4;CDKN1A
Reactome_2022.gmt,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,1/57,0.1961725901497342,0.3787220837612924,6.98566147641985,11.377969096562763,LOXL4
Reactome_2022.gmt,Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,1/59,0.2023253870258874,0.3826289632190251,6.745537163258683,10.778545773420552,CDKN1A
Reactome_2022.gmt,SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,1/59,0.2023253870258874,0.3826289632190251,6.745537163258683,10.778545773420552,CDKN1A
Reactome_2022.gmt,Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,1/59,0.2023253870258874,0.3826289632190251,6.745537163258683,10.778545773420552,CDKN1A
Reactome_2022.gmt,DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,1/61,0.20843225668657445,0.3888870292541456,6.521288837744534,10.226301693885643,CDKN1A
Reactome_2022.gmt,Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,1/61,0.20843225668657445,0.3888870292541456,6.521288837744534,10.226301693885643,FOS
Reactome_2022.gmt,MAP Kinase Activation R-HSA-450294,1/62,0.21146857330841343,0.38932624754794,6.414634146341464,9.966281603119375,FOS
Reactome_2022.gmt,TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,1/62,0.21146857330841343,0.38932624754794,6.414634146341464,9.966281603119375,FOS
Reactome_2022.gmt,Semaphorin Interactions R-HSA-373755,1/64,0.21750717783351212,0.3978091805112919,6.2114023721718326,9.475639836156997,SEMA7A
Reactome_2022.gmt,p53-Dependent G1 DNA Damage Response R-HSA-69563,1/65,0.22050954837419873,0.40061395347726597,6.114512805416544,9.244007785162504,CDKN1A
Reactome_2022.gmt,Integrin Cell Surface Interactions R-HSA-216083,1/66,0.22350068594759034,0.40061395347726597,6.020581698714851,9.020883173730594,THBS1
Reactome_2022.gmt,RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,1/66,0.22350068594759034,0.40061395347726597,6.020581698714851,9.020883173730594,THBS1
Reactome_2022.gmt,Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,1/67,0.22648063150665163,0.40061395347726597,5.929475587703436,8.805839586950846,COL17A1
Reactome_2022.gmt,G1/S DNA Damage Checkpoints R-HSA-69615,1/67,0.22648063150665163,0.40061395347726597,5.929475587703436,8.805839586950846,CDKN1A
Reactome_2022.gmt,RNA Polymerase II Transcription R-HSA-73857,7/1312,0.22768706708420153,0.40061395347726597,1.5681931209521143,2.320585686663392,FOS;THBS1;NR1D1;TP53I3;IGFBP3;DDIT3;CDKN1A
Reactome_2022.gmt,Costimulation By CD28 Family R-HSA-388841,1/68,0.22944942585895764,0.4011757257156618,5.841068917018284,8.598477743395309,PIK3R3
Reactome_2022.gmt,Circadian Clock R-HSA-400253,1/69,0.23240710966719513,0.40129923284149227,5.755243462995472,8.39842340733458,NR1D1
Reactome_2022.gmt,Interleukin-17 Signaling R-HSA-448424,1/69,0.23240710966719513,0.40129923284149227,5.755243462995472,8.39842340733458,FOS
Reactome_2022.gmt,Metabolism R-HSA-1430728,10/2049,0.24334001518420342,0.41758348284696634,1.4196705235532656,2.006414067793687,PIK3R3;GDA;PLCE1;CYP1A1;AHRR;CYP1B1;ACER2;SH2D3C;RAPGEF4;NR1D1
Reactome_2022.gmt,Formation Of Cornified Envelope R-HSA-6809371,1/74,0.24703028366213628,0.4213154531170177,5.361146990441746,7.4961934564701185,KLK5
Reactome_2022.gmt,ABC Transporter Disorders R-HSA-5619084,1/77,0.2556734326507969,0.4307709956177063,5.149416728716803,7.023054161079274,ABCA12
Reactome_2022.gmt,Regulation Of Insulin Secretion R-HSA-422356,1/77,0.2556734326507969,0.4307709956177063,5.149416728716803,7.023054161079274,RAPGEF4
Reactome_2022.gmt,Constitutive Signaling By Aberrant PI3K In Cancer R-HSA-2219530,1/78,0.25853292772321024,0.432653307593132,5.08248264597795,6.875237998102335,PIK3R3
Reactome_2022.gmt,COPI-mediated Anterograde Transport R-HSA-6807878,1/80,0.2642198216393507,0.432653307593132,4.953666109386195,6.5932001254394965,ANK1
Reactome_2022.gmt,Signaling By NOTCH4 R-HSA-9013694,1/81,0.2670472985472599,0.432653307593132,4.891658149225568,6.458600500389793,ACTA2
Reactome_2022.gmt,Cyclin E Associated Events During G1/S Transition R-HSA-69202,1/82,0.2698641805666787,0.432653307593132,4.831171856798944,6.328045146366177,CDKN1A
Reactome_2022.gmt,Mitochondrial Translation Elongation R-HSA-5389840,1/82,0.2698641805666787,0.432653307593132,4.831171856798944,6.328045146366177,MRPL53
Reactome_2022.gmt,Mitochondrial Translation Initiation R-HSA-5368286,1/82,0.2698641805666787,0.432653307593132,4.831171856798944,6.328045146366177,MRPL53
