Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Role Of GTSE1 In G2/M Progression After G2 Checkpoint R-HSA-8852276,1/59,0.19324173078390222,0.3677217705206078,7.1066666666666665,11.682033772923981,CDKN1A
Metabolism R-HSA-1430728,10/2049,0.19388966081995682,0.3677217705206078,1.5196578108669565,2.4929470317306017,PIK3R3;PLCE1;ACER2;CYP1B1;NR1D1;CYP1A1;RAPGEF4;GDA;AHRR;SH2D3C
Nuclear Events (Kinase And Transcription Factor Activation) R-HSA-198725,1/61,0.1991098865109513,0.37248448156810615,6.8704132231404955,11.088148998428903,FOS
DNA Damage/Telomere Stress Induced Senescence R-HSA-2559586,1/61,0.1991098865109513,0.37248448156810615,6.8704132231404955,11.088148998428903,CDKN1A
MAP Kinase Activation R-HSA-450294,1/62,0.20202835834760116,0.3728711311784585,6.758048780487805,10.808466418696433,FOS
TP53 Regulates Transcription Of DNA Repair Genes R-HSA-6796648,1/62,0.20202835834760116,0.3728711311784585,6.758048780487805,10.808466418696433,FOS
Semaphorin Interactions R-HSA-373755,1/64,0.20783426936365354,0.3810294938333649,6.543937007874016,10.280618609723314,SEMA7A
p53-Dependent G1 DNA Damage Response R-HSA-69563,1/65,0.2107217799405534,0.38376483101756415,6.441860465116279,10.031372013003807,CDKN1A
RUNX1 Regulates Genes Involved In Megakaryocyte Differentiation And Platelet Function R-HSA-8936459,1/66,0.21359904129533652,0.38391984546547414,6.342900763358779,9.791248322696402,THBS1
Integrin Cell Surface Interactions R-HSA-216083,1/66,0.21359904129533652,0.38391984546547414,6.342900763358779,9.791248322696402,THBS1
Collagen Biosynthesis And Modifying Enzymes R-HSA-1650814,1/67,0.21646608882779123,0.3840527382428554,6.246917293233083,9.559791076670546,COL17A1
G1/S DNA Damage Checkpoints R-HSA-69615,1/67,0.21646608882779123,0.3840527382428554,6.246917293233083,9.559791076670546,CDKN1A
Costimulation By CD28 Family R-HSA-388841,1/68,0.21932295781882416,0.3866270089754913,6.153777777777778,9.336572826664533,PIK3R3
Interleukin-17 Signaling R-HSA-448424,1/69,0.2221696834308465,0.3866877401486252,6.0633576642335765,9.121192907506188,FOS
Circadian Clock R-HSA-400253,1/69,0.2221696834308465,0.3866877401486252,6.0633576642335765,9.121192907506188,NR1D1
Formation Of Cornified Envelope R-HSA-6809371,1/74,0.23625238324420228,0.4086126125292807,5.648163265306122,8.14947848927187,KLK5
